"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"445",30809,42,32,1,43,33,2022-04-26
"446",33647,50,32,1,51,33,2022-04-26
"447",11206,55,30,2,57,32,2022-04-26
"448",11218,46,31,1,47,32,2022-04-26
"449",17345,35,28,4,39,32,2022-04-26
"450",17301,31,26,6,37,32,2022-04-26
"451",18940,50,31,1,51,32,2022-04-26
"452",19144,62,31,1,63,32,2022-04-26
"453",19428,43,25,7,50,32,2022-04-26
"454",25434,58,25,7,65,32,2022-04-26
"455",27560,50,30,2,52,32,2022-04-26
"456",26722,45,27,5,50,32,2022-04-26
"457",27513,50,29,3,53,32,2022-04-26
"458",27616,40,28,4,44,32,2022-04-26
"459",29229,46,29,3,49,32,2022-04-26
"460",30096,41,27,5,46,32,2022-04-26
"461",30813,50,28,4,54,32,2022-04-26
"462",11233,46,27,4,50,31,2022-04-26
"463",17019,41,27,4,45,31,2022-04-26
"464",17212,36,27,4,40,31,2022-04-26
"465",19020,41,29,2,43,31,2022-04-26
"466",22551,38,27,4,42,31,2022-04-26
"467",22802,42,29,2,44,31,2022-04-26
"468",26750,38,27,4,42,31,2022-04-26
"469",23453,39,28,3,42,31,2022-04-26
"470",28269,53,29,2,55,31,2022-04-26
"471",33025,48,30,1,49,31,2022-04-26
"472",60657,61,28,3,64,31,2022-04-26
"473",63106,34,27,4,38,31,2022-04-26
"474",92109,37,26,5,42,31,2022-04-26
"475",10801,41,26,4,45,30,2022-04-26
"476",11550,44,29,1,45,30,2022-04-26
"477",15411,41,29,1,42,30,2022-04-26
"478",17015,35,25,5,40,30,2022-04-26
"479",17033,48,29,1,49,30,2022-04-26
"480",24502,48,25,5,53,30,2022-04-26
"481",23235,39,27,3,42,30,2022-04-26
"482",27516,58,29,1,59,30,2022-04-26
"483",29577,45,29,1,46,30,2022-04-26
"484",30349,42,29,1,43,30,2022-04-26
"485",30909,50,29,1,51,30,2022-04-26
"486",32256,47,29,1,48,30,2022-04-26
"487",48105,49,28,2,51,30,2022-04-26
"488",10029,43,27,2,45,29,2022-04-26
"489",11743,43,26,3,46,29,2022-04-26
"490",11385,41,27,2,43,29,2022-04-26
"491",17304,32,28,1,33,29,2022-04-26
"492",17025,44,26,3,47,29,2022-04-26
"493",17224,25,25,4,29,29,2022-04-26
"494",18902,39,26,3,42,29,2022-04-26
"495",19951,39,27,2,41,29,2022-04-26
"496",19946,32,23,6,38,29,2022-04-26
"497",23231,38,24,5,43,29,2022-04-26
"498",24401,46,28,1,47,29,2022-04-26
"499",23228,39,26,3,42,29,2022-04-26
"500",23229,43,27,2,45,29,2022-04-26
"501",23434,46,27,2,48,29,2022-04-26
"502",23832,47,24,5,52,29,2022-04-26
"503",23322,58,24,5,63,29,2022-04-26
"504",23455,47,25,4,51,29,2022-04-26
"505",28314,57,28,1,58,29,2022-04-26
"506",29576,32,24,5,37,29,2022-04-26
"507",10012,43,25,3,46,28,2022-04-26
"508",10028,54,27,1,55,28,2022-04-26
"509",19462,32,27,1,33,28,2022-04-26
"510",19422,46,26,2,48,28,2022-04-26
"511",19606,38,24,4,42,28,2022-04-26
"512",23608,41,27,1,42,28,2022-04-26
"513",27606,55,25,3,58,28,2022-04-26
"514",28403,46,27,1,47,28,2022-04-26
"515",32608,48,25,3,51,28,2022-04-26
"516",10466,35,25,2,37,27,2022-04-26
"517",11413,35,26,1,36,27,2022-04-26
"518",11746,45,25,2,47,27,2022-04-26
"519",18901,45,25,2,47,27,2022-04-26
"520",18966,38,24,3,41,27,2022-04-26
"521",19464,49,26,1,50,27,2022-04-26
"522",19081,38,24,3,41,27,2022-04-26
"523",19120,35,23,4,39,27,2022-04-26
"524",20090,40,26,1,41,27,2022-04-26
"525",26743,36,22,5,41,27,2022-04-26
"526",23602,41,23,4,45,27,2022-04-26
"527",27587,46,26,1,47,27,2022-04-26
"528",26720,42,26,1,43,27,2022-04-26
"529",30318,43,23,4,47,27,2022-04-26
"530",93955,37,25,2,39,27,2022-04-26
"531",10304,34,23,3,37,26,2022-04-26
"532",11003,43,25,1,44,26,2022-04-26
"533",10009,69,25,1,70,26,2022-04-26
