"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"431",20839,183,170,22,205,192,2022-04-26
"432",20687,178,168,17,195,185,2022-04-26
"433",21717,177,162,18,195,180,2022-04-26
"434",21404,182,161,15,197,176,2022-04-26
"435",20704,190,163,9,199,172,2022-04-26
"436",21922,166,160,8,174,168,2022-04-26
"437",21041,177,156,8,185,164,2022-04-26
"438",20725,164,140,11,175,151,2022-04-26
"439",21056,177,137,13,190,150,2022-04-26
"440",20773,157,139,5,162,144,2022-04-26
"441",20703,154,125,16,170,141,2022-04-26
"442",21252,153,131,7,160,138,2022-04-26
"443",21648,124,117,21,145,138,2022-04-26
"444",21250,152,115,20,172,135,2022-04-26
"445",21718,140,121,13,153,134,2022-04-26
"446",21650,137,121,9,146,130,2022-04-26
"447",21022,129,120,5,134,125,2022-04-26
"448",21501,149,117,7,156,124,2022-04-26
"449",20660,128,121,2,130,123,2022-04-26
"450",21652,116,106,17,133,123,2022-04-26
"451",21669,117,108,13,130,121,2022-04-26
"452",20629,118,105,14,132,119,2022-04-26
"453",20718,126,113,5,131,118,2022-04-26
"454",21920,114,106,12,126,118,2022-04-26
"455",20768,122,109,6,128,115,2022-04-26
"456",21543,92,87,22,114,109,2022-04-26
"457",21023,111,101,6,117,107,2022-04-26
"458",21123,113,104,3,116,107,2022-04-26
"459",20914,118,100,5,123,105,2022-04-26
"460",20791,109,100,2,111,102,2022-04-26
"461",21720,78,71,31,109,102,2022-04-26
"462",21641,90,84,16,106,100,2022-04-26
"463",20792,111,94,5,116,99,2022-04-26
"464",21672,92,84,15,107,99,2022-04-26
"465",20749,106,90,5,111,95,2022-04-26
"466",20610,72,62,32,104,94,2022-04-26
"467",20849,94,87,7,101,94,2022-04-26
"468",21824,56,49,45,101,94,2022-04-26
"469",21741,87,78,13,100,91,2022-04-26
"470",20907,102,88,2,104,90,2022-04-26
"471",21790,89,81,9,98,90,2022-04-26
"472",21130,99,84,4,103,88,2022-04-26
"473",21624,86,78,10,96,88,2022-04-26
"474",21106,80,74,9,89,83,2022-04-26
